,incident_id,date,state,city_or_county,n_killed,n_injured,latitude,longitude,pos,neg,neu,comp,scrape
45,483817,2013-03-31,Washington,Auburn,3,2,47.3149,-122.22399999999999,0.0,0.0,0.0,0.0,True
54,484333,2013-04-21,Washington,Federal Way,5,0,47.303000000000004,-122.31,0.0,0.0,0.0,0.0,True
153,491281,2013-07-29,Washington,Granger,0,4,46.3421,-120.18700000000001,0.0,0.0,0.0,0.0,True
193,480071,2013-09-15,Washington,Yakima,0,6,46.5854,-120.538,0.0,0.321,0.679,-0.8176,True
323,92345,2014-01-01,Washington,Georgetown,0,1,47.5498,-122.318,0.0,0.0,0.0,0.0,True
359,95281,2014-01-01,Washington,Tulalip,0,1,48.098,-122.322,0.0,0.0,0.0,0.0,True
366,92339,2014-01-01,Washington,Seattle,0,1,47.6017,-122.29899999999999,0.0,0.0,1.0,0.0,True
368,92334,2014-01-01,Washington,Seattle,0,0,47.5337,-122.37200000000001,0.288,0.093,0.619,0.7215,True
452,95283,2014-01-01,Washington,Cape Horn,0,1,47.6573,-120.917,0.0,0.0,0.0,0.0,True
566,95299,2014-01-02,Washington,Burien,0,1,47.4631,-122.337,0.0,0.0,0.0,0.0,True
653,92973,2014-01-03,Washington,Spokane,0,1,47.7157,-117.411,0.0,0.0,0.0,0.0,True
656,92593,2014-01-03,Washington,Bellevue,1,0,47.6077,-122.176,0.0,0.0,0.0,0.0,True
658,92978,2014-01-03,Washington,Walla Walla,1,0,46.0231,-118.428,0.0,0.0,0.0,0.0,True
659,183489,2014-01-03,Washington,Selah,1,0,46.6504,-120.51700000000001,0.0,0.13,0.87,-0.34,True
668,93338,2014-01-03,Washington,Pasco,1,0,46.2291,-119.098,0.0,0.0,0.0,0.0,True
694,125330,2014-01-03,Washington,Yakima County,1,0,46.5436,-120.756,0.0,0.0,0.0,0.0,True
722,92976,2014-01-03,Washington,Spokane,1,1,47.6792,-117.404,0.0,0.0,0.0,0.0,True
789,93668,2014-01-04,Washington,Yakima,1,0,46.5851,-120.49,0.0,0.0,0.0,0.0,True
819,93330,2014-01-04,Washington,Deer Park,1,0,47.9503,-117.47200000000001,0.0,0.0,0.0,0.0,True
828,93335,2014-01-04,Washington,Pasco,0,1,46.2443,-119.117,0.0,0.0,0.0,0.0,True
935,93670,2014-01-05,Washington,Kennewick,0,0,46.2063,-119.179,0.0,0.0,0.0,0.0,True
947,93340,2014-01-05,Washington,Tacoma,0,1,47.1694,-122.43,0.0,0.0,0.0,0.0,True
985,93663,2014-01-05,Washington,Seattle,0,1,47.6062,-122.31700000000001,0.21266666666666667,0.12999999999999998,0.6573333333333333,0.09476666666666667,True
1065,93691,2014-01-06,Washington,Vancouver,0,0,45.6193,-122.538,0.0,0.0,0.0,0.0,True
1150,105185,2014-01-07,Washington,Roosevelt,1,1,45.9729,-120.354,0.0,0.0,0.0,0.0,True
1152,94035,2014-01-07,Washington,Roosevelt,0,1,45.9719,-120.354,0.0,0.0,0.0,0.0,True
1380,96455,2014-01-09,Washington,Tacoma,0,0,47.2346,-122.42,0.0,0.0,0.0,0.0,True
1620,217100,2014-01-10,Washington,Spokane,0,0,47.6211,-117.55,0.0,0.0,0.0,0.0,True
1643,95317,2014-01-11,Washington,Vancouver,0,0,45.6405,-122.62100000000001,0.0,0.4665,0.5335,-0.5415,True
1741,95960,2014-01-11,Washington,Seattle,0,1,47.571000000000005,-122.295,0.0,0.0,0.0,0.0,True
1800,333919,2014-01-12,Washington,Spokane,0,0,47.7549,-117.402,0.0,0.194,0.806,-0.6973,True
