gun,state,month,year,count_guns,latitude,longitude,n_killed,n_injured,fip,state_abbr,population,count_total_guns,gun_percentage,total_guns_per_1M,date
10mm,Alabama,1,2017,1,33.6607,-86.6814,0,0,1,AL,4874486,227,0.44052863436123346,46.56901260973977,2017-01-01
12 gauge,Alabama,1,2017,1,30.8144,-88.2758,1,0,1,AL,4874486,227,2.202643171806167,46.56901260973977,2017-01-01
12 gauge,Alabama,5,2017,1,34.1728,-86.186,0,0,1,AL,4874486,227,0.44052863436123346,46.56901260973977,2017-05-01
12 gauge,Alabama,6,2017,2,30.63075,-87.94229999999999,1,1,1,AL,4874486,227,0.44052863436123346,46.56901260973977,2017-06-01
12 gauge,Alabama,9,2017,1,33.1977,-87.538,0,0,1,AL,4874486,227,3.5242290748898677,46.56901260973977,2017-09-01
16 gauge,Alabama,2,2017,1,33.828,-85.7807,0,0,1,AL,4874486,227,0.8810572687224669,46.56901260973977,2017-02-01
20 gauge,Alabama,2,2017,1,33.828,-85.7807,0,0,1,AL,4874486,227,0.44052863436123346,46.56901260973977,2017-02-01
22 LR,Alabama,1,2017,2,32.6412,-87.30425,1,0,1,AL,4874486,227,0.44052863436123346,46.56901260973977,2017-01-01
22 LR,Alabama,2,2017,2,34.35185,-86.2984,0,1,1,AL,4874486,227,0.44052863436123346,46.56901260973977,2017-02-01
22 LR,Alabama,5,2017,3,33.096833333333336,-86.93176666666666,0,0,1,AL,4874486,227,2.202643171806167,46.56901260973977,2017-05-01
22 LR,Alabama,12,2017,1,33.9885,-85.9093,0,0,1,AL,4874486,227,0.8810572687224669,46.56901260973977,2017-12-01
25 Auto,Alabama,1,2017,1,34.9178,-86.9088,0,0,1,AL,4874486,227,2.202643171806167,46.56901260973977,2017-01-01
25 Auto,Alabama,2,2017,1,30.9931,-87.764,1,0,1,AL,4874486,227,0.44052863436123346,46.56901260973977,2017-02-01
300 Win,Alabama,8,2017,1,30.6965,-88.044,0,0,1,AL,4874486,227,1.7621145374449338,46.56901260973977,2017-08-01
32 Auto,Alabama,1,2017,1,33.3047,-86.8068,0,0,1,AL,4874486,227,4.845814977973569,46.56901260973977,2017-01-01
357 Mag,Alabama,3,2017,1,30.6823,-88.1765,0,2,1,AL,4874486,227,62.11453744493392,46.56901260973977,2017-03-01
38 Spl,Alabama,1,2017,1,33.3047,-86.8068,0,0,1,AL,4874486,227,1.3215859030837005,46.56901260973977,2017-01-01
38 Spl,Alabama,3,2017,1,33.649,-86.6603,1,1,1,AL,4874486,227,9.251101321585903,46.56901260973977,2017-03-01
38 Spl,Alabama,5,2017,1,30.5464,-88.084,1,0,1,AL,4874486,227,5.726872246696035,46.56901260973977,2017-05-01
38 Spl,Alabama,10,2017,2,34.166799999999995,-86.4168,0,0,1,AL,4874486,227,0.3952569169960474,341.22051746833256,2017-10-01
380 Auto,Alabama,3,2017,1,34.8195,-86.9675,0,0,1,AL,4874486,227,1.976284584980237,341.22051746833256,2017-03-01
380 Auto,Alabama,5,2017,1,30.5301,-87.8862,0,0,1,AL,4874486,227,0.3952569169960474,341.22051746833256,2017-05-01
40 SW,Alabama,1,2017,2,31.89215,-87.26650000000001,0,0,1,AL,4874486,227,4.743083003952569,341.22051746833256,2017-01-01
40 SW,Alabama,3,2017,1,32.378,-86.2723,0,1,1,AL,4874486,227,0.3952569169960474,341.22051746833256,2017-03-01
40 SW,Alabama,7,2017,1,32.9361,-85.9367,0,0,1,AL,4874486,227,1.5810276679841897,341.22051746833256,2017-07-01
40 SW,Alabama,10,2017,1,32.8489,-85.2056,2,7,1,AL,4874486,227,0.7905138339920948,341.22051746833256,2017-10-01
410 gauge,Alabama,7,2017,1,32.5388,-86.4924,1,0,1,AL,4874486,227,0.7905138339920948,341.22051746833256,2017-07-01
