gun,state,year,count_guns,latitude,longitude,n_killed,n_injured,fip,state_abbr,population,count_total_guns,gun_percentage,total_guns_per_1M
10mm,Alabama,2017,1,33.6607,-86.6814,0,0,1,AL,4874486,227,0.44052863436123346,46.56901260973977
12 gauge,Alabama,2017,5,31.889279999999996,-87.57687999999999,2,1,1,AL,4874486,227,2.202643171806167,46.56901260973977
16 gauge,Alabama,2017,1,33.828,-85.7807,0,0,1,AL,4874486,227,0.44052863436123346,46.56901260973977
20 gauge,Alabama,2017,1,33.828,-85.7807,0,0,1,AL,4874486,227,0.44052863436123346,46.56901260973977
22 LR,Alabama,2017,8,33.4081375,-86.7387375,1,1,1,AL,4874486,227,3.5242290748898677,46.56901260973977
25 Auto,Alabama,2017,2,32.95545,-87.3364,1,0,1,AL,4874486,227,0.8810572687224669,46.56901260973977
300 Win,Alabama,2017,1,30.6965,-88.044,0,0,1,AL,4874486,227,0.44052863436123346,46.56901260973977
32 Auto,Alabama,2017,1,33.3047,-86.8068,0,0,1,AL,4874486,227,0.44052863436123346,46.56901260973977
357 Mag,Alabama,2017,1,30.6823,-88.1765,0,2,1,AL,4874486,227,0.44052863436123346,46.56901260973977
38 Spl,Alabama,2017,5,33.166740000000004,-86.87694,2,1,1,AL,4874486,227,2.202643171806167,46.56901260973977
380 Auto,Alabama,2017,2,32.6748,-87.42685,0,0,1,AL,4874486,227,0.8810572687224669,46.56901260973977
40 SW,Alabama,2017,5,32.38946,-86.38951999999999,2,8,1,AL,4874486,227,2.202643171806167,46.56901260973977
410 gauge,Alabama,2017,1,32.5388,-86.4924,1,0,1,AL,4874486,227,0.44052863436123346,46.56901260973977
45 Auto,Alabama,2017,4,31.92155,-87.12652499999999,0,1,1,AL,4874486,227,1.7621145374449338,46.56901260973977
9mm,Alabama,2017,11,32.38771818181818,-86.94995454545455,3,1,1,AL,4874486,227,4.845814977973569,46.56901260973977
Handgun,Alabama,2017,141,33.486112857142885,-87.08020642857144,15,28,1,AL,4874486,227,62.11453744493392,46.56901260973977
Other,Alabama,2017,3,33.416266666666665,-85.89593333333333,0,0,1,AL,4874486,227,1.3215859030837005,46.56901260973977
Rifle,Alabama,2017,21,32.99498571428572,-86.84977619047619,3,0,1,AL,4874486,227,9.251101321585903,46.56901260973977
Shotgun,Alabama,2017,13,32.35154615384615,-87.20005384615386,3,7,1,AL,4874486,227,5.726872246696035,46.56901260973977
10mm,Alaska,2016,1,61.5803,-149.611,1,0,2,AK,741456,253,0.3952569169960474,341.22051746833256
12 gauge,Alaska,2016,5,62.62388,-155.93720000000002,1,0,2,AK,741456,253,1.976284584980237,341.22051746833256
20 gauge,Alaska,2016,1,60.7922,-161.756,0,0,2,AK,741456,253,0.3952569169960474,341.22051746833256
22 LR,Alaska,2016,12,62.13459166666667,-145.84491666666668,1,1,2,AK,741456,253,4.743083003952569,341.22051746833256
25 Auto,Alaska,2016,1,64.8253,-147.728,0,0,2,AK,741456,253,0.3952569169960474,341.22051746833256
30-06 Spr,Alaska,2016,4,63.72563333333334,-153.717,0,1,2,AK,741456,253,1.5810276679841897,341.22051746833256
30-30 Win,Alaska,2016,2,62.66315,-149.459,0,0,2,AK,741456,253,0.7905138339920948,341.22051746833256
300 Win,Alaska,2016,2,61.787,-156.615,0,0,2,AK,741456,253,0.7905138339920948,341.22051746833256
308 Win,Alaska,2016,2,64.8177,-147.606,0,0,2,AK,741456,253,0.7905138339920948,341.22051746833256
32 Auto,Alaska,2016,1,61.5807,-149.429,0,0,2,AK,741456,253,0.3952569169960474,341.22051746833256
357 Mag,Alaska,2016,10,62.20195714285715,-151.87628571428573,7,3,2,AK,741456,253,3.952569169960474,341.22051746833256
38 Spl,Alaska,2016,3,62.24953333333334,-148.797,0,1,2,AK,741456,253,1.1857707509881423,341.22051746833256
380 Auto,Alaska,2016,2,62.57875,-154.32150000000001,0,1,2,AK,741456,253,0.7905138339920948,341.22051746833256
