state,year,count_perpetrators,latitude,longitude,mean_n_killed,mean_n_injured,mean_age,count_underages,count_males,count_females,fip,state_abbr,population,underages_ratio,male_pctg,female_pctg,perpetrators_per_1M
Alabama,2013,3,33.18066666666666,-86.7586,2.0,4.666666666666667,24.0,0.0,2,1,1,AL,4830081,0.0,66.66666666666667,33.333333333333336,0.6211075963322354
Alabama,2014,1182,33.099321271186426,-86.81126550847465,0.23011844331641285,0.3697123519458545,29.659735349716446,81.0,1040,76,1,AL,4841799,0.06852791878172589,93.18996415770609,6.810035842293907,244.1241365038078
Alabama,2015,769,33.11002174479167,-86.80548802083337,0.3589076723016905,0.5123537061118335,31.055,61.0,628,53,1,AL,4852347,0.07932379713914174,92.2173274596182,7.782672540381792,158.48000977671217
Alabama,2016,956,32.976676470588245,-86.8015254162042,0.4121338912133891,0.5167364016736402,29.543230016313213,82.0,818,69,1,AL,4863525,0.08577405857740586,92.22096956031567,7.7790304396843295,196.56524845662355
Alabama,2017,1106,32.69642325791861,-86.92479583710411,0.38245931283905965,0.4602169981916817,29.23201174743025,117.0,906,82,1,AL,4874486,0.1057866184448463,91.70040485829959,8.299595141700404,226.89571782542816
Alabama,2018,256,32.8772013043478,-86.87687608695656,0.3984375,0.57421875,28.761627906976745,35.0,219,20,1,AL,4887681,0.13671875,91.63179916317992,8.368200836820083,52.37657694927308
Alaska,2014,69,62.255210144927545,-149.86972463768117,0.2318840579710145,0.463768115942029,29.942307692307693,6.0,58,4,2,AK,736283,0.08695652173913043,93.54838709677419,6.451612903225806,93.71396596145776
Alaska,2015,318,62.141018412698344,-149.7875111111111,0.22012578616352202,0.24842767295597484,30.379591836734694,26.0,274,34,2,AK,737498,0.08176100628930817,88.96103896103897,11.03896103896104,431.1876100002983
Alaska,2016,385,61.89690687679081,-149.15057020057316,0.2025974025974026,0.24935064935064935,30.22222222222222,34.0,337,34,2,AK,741456,0.08831168831168831,90.8355795148248,9.164420485175203,519.248613538767
Alaska,2017,278,61.921098120300776,-149.4171127819551,0.18705035971223022,0.20503597122302158,32.45876288659794,12.0,247,13,2,AK,739700,0.04316546762589928,95.0,5.0,375.8280383939435
Alaska,2018,50,61.28307567567568,-148.4502702702702,0.14,0.24,32.256410256410255,1.0,42,7,2,AK,735139,0.02,85.71428571428571,14.285714285714286,68.01434830691883
Arizona,2013,8,33.4395625,-112.07274999999998,1.5,3.0,26.875,4.0,7,0,4,AZ,6632764,0.5,100.0,0.0,1.2061336721764864
Arizona,2014,371,33.29458814016169,-111.90985983827493,0.3611859838274933,0.4797843665768194,32.10471204188482,17.0,324,18,4,AZ,6730413,0.04582210242587601,94.73684210526316,5.2631578947368425,55.122917419777956
Arizona,2015,322,33.403523364485984,-111.92752336448598,0.531055900621118,0.42857142857142855,31.910179640718564,10.0,246,24,4,AZ,6829676,0.031055900621118012,91.11111111111111,8.88888888888889,47.147185313036815
Arizona,2016,452,33.297643230403764,-111.89074584323033,0.5442477876106194,0.4314159292035398,29.570281124497992,32.0,355,35,4,AZ,6941072,0.07079646017699115,91.02564102564102,8.974358974358974,65.11962417332654
Arizona,2017,530,33.32872734374999,-111.95357812499991,0.4811320754716981,0.4716981132075472,32.794117647058826,41.0,420,29,4,AZ,7044008,0.07735849056603773,93.54120267260579,6.458797327394209,75.24125469477036
Arizona,2018,135,33.362967200000014,-111.91668000000008,0.6370370370370371,0.5037037037037037,30.79310344827586,17.0,110,10,4,AZ,7158024,0.1259259259259259,91.66666666666667,8.333333333333334,18.859953529074506
Arkansas,2014,533,34.9629313909775,-92.2961951127819,0.23076923076923078,0.37335834896810505,31.21917808219178,38.0,450,28,5,AR,2967392,0.07129455909943715,94.14225941422595,5.857740585774058,179.6190055105628
Arkansas,2015,439,35.06812557077627,-92.16552990867575,0.26651480637813213,0.4533029612756264,31.345238095238095,37.0,389,25,5,AR,2978048,0.08428246013667426,93.96135265700484,6.038647342995169,147.41199604573197
