,incident_id,date,state,city_or_county,n_killed,n_injured,latitude,longitude,pos,neg,neu,comp,scrape
36,482856,2013-03-13,New York,Mohawk,6,2,43.011,-75.0058,0.0,0.0,0.0,0.0,True
43,483788,2013-03-22,New York,Brooklyn,1,3,40.5803,-74.0005,0.0,0.0,0.0,0.0,True
47,483872,2013-04-07,New York,New York (Manhattan),1,3,40.9018,-73.8511,0.0,0.545,0.455,-0.5859,True
78,873575,2013-05-18,New York,Jamaica,1,0,40.673,-73.7881,0.0,0.0,0.0,0.0,True
119,490226,2013-06-30,New York,Brooklyn,0,9,40.6452,-73.928,0.0,0.0,0.0,0.0,True
121,893251,2013-07-01,New York,Locust Valley,0,1,40.888000000000005,-73.5899,0.0,0.0,0.0,0.0,True
126,490750,2013-07-06,New York,Brooklyn,1,3,40.6987,-73.95,0.0,0.185,0.815,-0.53625,True
146,491181,2013-07-20,New York,Brooklyn,0,5,40.6962,-73.9178,0.0,0.40633333333333327,0.5936666666666667,-0.7051666666666666,True
147,491214,2013-07-21,New York,Brooklyn,0,4,40.6699,-73.9293,0.0,0.161,0.839,-0.5859,True
166,491710,2013-08-11,New York,Brooklyn,0,4,40.6524,-73.9321,0.0,0.0,1.0,0.0,True
187,479774,2013-09-11,New York,New York,0,4,40.7283,-74.0048,0.0273,0.1476,0.8251,-0.17151,True
214,480882,2013-10-05,New York,Buffalo,0,4,42.9114,-78.8075,0.0,0.0,0.0,0.0,True
242,493882,2013-11-11,New York,Brooklyn,4,1,40.7122,-73.9359,0.0,0.0,0.0,0.0,True
251,495171,2013-11-28,New York,Rochester,0,4,43.1595,-77.61,0.159,0.184,0.657,0.04730000000000001,True
267,495577,2013-12-25,New York,Medford,1,3,40.8463,-72.9919,0.0,0.0,0.0,0.0,True
276,496684,2013-12-31,New York,Brooklyn,0,6,40.6712,-73.9088,0.1025,0.20625,0.69125,-0.27642500000000003,True
280,92383,2014-01-01,New York,Queens,1,0,40.7034,-73.7474,0.116,0.204,0.68,-0.296,True
281,92142,2014-01-01,New York,Brooklyn,0,1,40.6715,-73.9476,0.07139999999999999,0.35419999999999996,0.5744,-0.55454,True
284,92428,2014-01-01,New York,Syracuse,0,1,43.0308,-76.1562,0.0,0.0,0.0,0.0,True
303,92131,2014-01-01,New York,Bronx,0,1,40.8179,-73.8628,0.0,0.0,0.0,0.0,True
305,92144,2014-01-01,New York,Bronx,0,1,40.8623,-73.8959,0.09971428571428571,0.21200000000000002,0.6884285714285714,-0.19594285714285717,True
349,92395,2014-01-01,New York,Buffalo,1,0,42.8913,-78.8659,0.08,0.257,0.664,-0.6124,True
371,92331,2014-01-01,New York,Poughkeepsie,0,2,41.7001,-73.9158,0.143,0.22066666666666668,0.6363333333333333,-0.06666666666666665,True
381,92135,2014-01-01,New York,Brooklyn,1,0,40.6838,-73.9075,0.01916666666666667,0.206,0.7748333333333334,-0.25278333333333336,True
409,92139,2014-01-01,New York,Staten Island,0,1,40.6155,-74.0816,0.0,0.2144,0.7856,-0.36254,True
410,92133,2014-01-01,New York,Brooklyn,0,1,40.6804,-73.9167,0.016428571428571428,0.20685714285714285,0.7767142857142856,-0.2941428571428571,True
