,Unnamed: 0,incident_id,date,state,city_or_county,n_killed,n_injured,latitude,longitude,pos,neg,neu,comp,scrape
2,47,483872,2013-04-07,New York,New York (Manhattan),1,3,40.9018,-73.8511,0.0,0.545,0.455,-0.5859,True
6,126,490750,2013-07-06,New York,Brooklyn,1,3,40.6987,-73.95,0.0,0.185,0.815,-0.53625,True
7,146,491181,2013-07-20,New York,Brooklyn,0,5,40.6962,-73.9178,0.0,0.4063333333333333,0.5936666666666667,-0.7051666666666666,True
8,147,491214,2013-07-21,New York,Brooklyn,0,4,40.6699,-73.9293,0.0,0.161,0.8390000000000001,-0.5859,True
9,166,491710,2013-08-11,New York,Brooklyn,0,4,40.6524,-73.9321,0.0,0.0,1.0,0.0,True
10,187,479774,2013-09-11,New York,New York,0,4,40.7283,-74.0048,0.0273,0.1476,0.8251,-0.17151,True
13,251,495171,2013-11-28,New York,Rochester,0,4,43.1595,-77.61,0.159,0.184,0.657,0.047300000000000016,True
15,276,496684,2013-12-31,New York,Brooklyn,0,6,40.6712,-73.9088,0.1025,0.20625,0.69125,-0.27642500000000003,True
16,280,92383,2014-01-01,New York,Queens,1,0,40.7034,-73.7474,0.11599999999999999,0.204,0.68,-0.29600000000000004,True
17,281,92142,2014-01-01,New York,Brooklyn,0,1,40.6715,-73.9476,0.07139999999999999,0.3542,0.5744,-0.5545399999999999,True
20,305,92144,2014-01-01,New York,Bronx,0,1,40.8623,-73.8959,0.09971428571428573,0.212,0.6884285714285714,-0.1959428571428572,True
21,349,92395,2014-01-01,New York,Buffalo,1,0,42.8913,-78.8659,0.08,0.257,0.664,-0.6124,True
22,371,92331,2014-01-01,New York,Poughkeepsie,0,2,41.7001,-73.9158,0.14300000000000002,0.22066666666666668,0.6363333333333333,-0.06666666666666665,True
23,381,92135,2014-01-01,New York,Brooklyn,1,0,40.6838,-73.9075,0.01916666666666667,0.20600000000000002,0.7748333333333334,-0.25278333333333336,True
24,409,92139,2014-01-01,New York,Staten Island,0,1,40.6155,-74.0816,0.0,0.2144,0.7856,-0.36254000000000003,True
25,410,92133,2014-01-01,New York,Brooklyn,0,1,40.6804,-73.9167,0.016428571428571428,0.20685714285714285,0.7767142857142856,-0.2941428571428571,True
26,426,289294,2014-01-01,New York,Niagara Falls,0,0,43.0889,-79.0488,0.161,0.196,0.643,-0.1414,True
28,471,150401,2014-01-01,New York,Syracuse,0,0,43.0664,-76.1558,0.08900000000000001,0.25066666666666665,0.6603333333333334,-0.4043666666666667,True
29,481,92137,2014-01-01,New York,Bronx,0,1,40.8396,-73.8758,0.14266666666666666,0.3013333333333333,0.556,-0.4083666666666666,True
30,484,92148,2014-01-01,New York,Brooklyn,0,3,40.6505,-73.9573,0.135,0.0,0.865,0.2584,True
32,567,92707,2014-01-02,New York,Brooklyn,0,1,40.6623,-73.8948,0.1655,0.2205,0.614,-0.15949999999999998,True
33,614,92704,2014-01-03,New York,Queens,1,3,40.6775,-73.7629,0.0,0.255,0.745,-0.34,True
34,640,92718,2014-01-03,New York,Manhattan,0,0,40.7332,-74.0052,0.14966666666666664,0.13966666666666666,0.7106000000000001,0.10000666666666663,True
36,670,92987,2014-01-03,New York,Brooklyn,0,0,40.6766,-73.8617,0.11783333333333333,0.07316666666666667,0.8089999999999998,0.09031666666666667,True
37,674,100284,2014-01-03,New York,Troy,0,1,42.7356,-73.6848,0.17800000000000002,0.102,0.72,0.4215,True
39,742,116758,2014-01-04,New York,Brooklyn,0,1,40.6988,-73.9951,0.062,0.12416666666666665,0.8138333333333332,-0.1880333333333333,True
40,763,93107,2014-01-04,New York,Brooklyn,1,1,40.6693,-73.9136,0.14425,0.1715,0.68425,-0.10705,True
41,804,92984,2014-01-04,New York,Brooklyn,1,0,40.6599,-73.9426,0.116,0.34700000000000003,0.5366666666666666,-0.4792,True
42,811,94551,2014-01-04,New York,Brooklyn,0,0,40.634,-73.9497,0.06720000000000001,0.15299999999999994,0.7798,-0.21336000000000005,True
47,916,93811,2014-01-05,New York,Albany,0,0,42.6318,-73.7757,0.0,0.583,0.41700000000000004,-0.6808,True
51,984,93121,2014-01-05,New York,Queens,0,2,40.7146,-73.7812,0.223,0.0,0.777,0.5773,True
53,1058,93793,2014-01-06,New York,Newburgh,1,0,41.5148,-74.0121,0.0,0.255,0.745,-0.5859,True
56,1163,94557,2014-01-07,New York,Shirley,0,0,40.8006,-72.8713,0.0,0.327,0.6729999999999999,-0.8658,True
57,1193,94113,2014-01-07,New York,Syracuse,1,0,43.059,-76.1454,0.16899999999999998,0.312,0.519,-0.2732,True
60,1251,292428,2014-01-08,New York,Buffalo,0,0,42.89,-78.8817,0.08,0.257,0.664,-0.6124,True
61,1258,94455,2014-01-08,New York,Poughkeepsie,0,1,41.6908,-73.8832,0.32799999999999996,0.32799999999999996,0.345,0.25,True
62,1269,94553,2014-01-08,New York,Manhattan,0,1,40.8182,-73.9605,0.14033333333333334,0.201,0.6583333333333333,-0.15313333333333334,True
63,1270,94555,2014-01-08,New York,Manhattan,1,0,40.8139,-73.9448,0.09241666666666666,0.20691666666666667,0.7007499999999999,-0.245725,True
65,1310,94567,2014-01-08,New York,Queens,1,0,40.6997,-73.8079,0.0,0.243,0.757,-0.42255,True
67,1452,94541,2014-01-09,New York,Syracuse,0,0,43.0664,-76.1558,0.08900000000000001,0.25066666666666665,0.6603333333333334,-0.4043666666666667,True
69,1592,95239,2014-01-10,New York,Poughkeepsie,0,0,41.7093,-73.9034,0.2555,0.256,0.489,-0.058099999999999985,True
70,1606,95112,2014-01-10,New York,Bronx,1,0,40.8505,-73.9059,0.10763636363636364,0.22218181818181815,0.6701818181818181,-0.14919090909090912,True
72,1650,95993,2014-01-11,New York,Yonkers,0,1,40.9247,-73.9026,0.233,0.204,0.5630000000000001,0.08136666666666666,True
74,1701,101610,2014-01-11,New York,Staten Island,0,0,40.6255,-74.0809,0.0,0.162,0.8380000000000001,-0.17,True
75,1720,102508,2014-01-11,New York,Syracuse,0,0,43.0481,-76.1474,0.0,0.28600000000000003,0.7140000000000001,-0.34,True
79,1945,98052,2014-01-13,New York,Rochester,0,1,43.1738,-77.5936,0.0,0.545,0.455,-0.34,True
80,1946,95988,2014-01-13,New York,Yonkers,0,1,40.9346,-73.8958,0.121,0.21033333333333332,0.6683333333333333,-0.27426666666666666,True
81,1969,96618,2014-01-13,New York,Bronx,0,1,40.8566,-73.8676,0.08057142857142856,0.19557142857142856,0.7238571428571429,-0.29624285714285714,True
82,2004,98183,2014-01-13,New York,Troy,0,1,42.7275,-73.6898,0.17800000000000002,0.102,0.72,0.4215,True
83,2007,97933,2014-01-13,New York,Queens,0,1,40.7558,-73.9219,0.0,0.0,1.0,0.0,True
85,2046,97925,2014-01-13,New York,Brooklyn,0,0,40.7243,-73.9498,0.0987,0.1337,0.7676000000000001,-0.04453000000000002,True
86,2113,96615,2014-01-14,New York,Bellport,0,1,40.7734,-72.9439,0.124,0.142,0.7340000000000001,-0.1027,True
88,2201,96611,2014-01-14,New York,Manhattan,1,0,40.7891,-73.9486,0.07285714285714286,0.19807142857142854,0.7290714285714286,-0.1977357142857143,True
93,2283,98180,2014-01-15,New York,Albany,0,1,42.6597,-73.7668,0.08313333333333332,0.2401333333333333,0.6767999999999998,-0.3929,True
94,2359,97922,2014-01-15,New York,Manhattan,0,0,40.7549,-73.9685,0.12652941176470586,0.19170588235294114,0.6818235294117647,-0.11544705882352944,True
95,2362,97919,2014-01-15,New York,Manhattan,0,0,40.7608,-73.9682,0.11590476190476193,0.18261904761904765,0.7015238095238094,-0.11644285714285715,True
97,2387,99816,2014-01-15,New York,Bronx,0,0,40.8893,-73.8216,0.155,0.248,0.597,-0.3252,True
99,2448,98909,2014-01-16,New York,Bronx,1,0,40.8218,-73.9036,0.0,0.613,0.387,-0.8176,True
100,2488,98171,2014-01-16,New York,Albany,0,1,42.6706,-73.7746,0.024166666666666663,0.2923333333333333,0.6835,-0.4893,True
101,2492,97903,2014-01-16,New York,Deer Park,1,1,40.7632,-73.3239,0.172,0.084,0.7440000000000001,0.4019,True
102,2500,101089,2014-01-16,New York,Brooklyn,0,0,40.7104,-73.9589,0.1691,0.15675,0.6741999999999998,0.04572,True
103,2504,99841,2014-01-16,New York,Manhattan,0,0,40.7501,-73.9749,0.1021904761904762,0.16576190476190478,0.7319047619047618,-0.0563,True
104,2536,97911,2014-01-16,New York,Brooklyn,0,0,40.7013,-73.9368,0.0,0.2785,0.7215,-0.4697750000000001,True
105,2578,99440,2014-01-16,New York,Brooklyn,0,0,40.6574,-73.8991,0.0,0.375,0.625,-0.34,True
107,2614,98564,2014-01-17,New York,Newburgh,0,0,41.4978,-74.0129,0.0,0.029333333333333333,0.9706666666666668,-0.08613333333333334,True
110,2641,98211,2014-01-17,New York,Syracuse,0,1,43.0187,-76.1516,0.14975,0.11375,0.7364999999999999,-0.08494999999999997,True
112,2657,98174,2014-01-17,New York,Colonie,0,0,42.7162,-73.8312,0.0955,0.155,0.7495,-0.09267499999999998,True
113,2676,97983,2014-01-17,New York,Albany,0,1,42.6477,-73.7517,0.02625,0.17575,0.7979999999999999,-0.46875,True
