,Unnamed: 0,incident_id,date,state,city_or_county,n_killed,n_injured,latitude,longitude,pos,neg,neu,comp,scrape
0,45,483817,2013-03-31,Washington,Auburn,3,2,47.3149,-122.224,0.05633333333333334,0.09066666666666667,0.8530000000000001,-0.034200000000000015,True
1,54,484333,2013-04-21,Washington,Federal Way,5,0,47.303,-122.31,0.0522,0.1749,0.7729999999999999,-0.1449,True
3,193,480071,2013-09-15,Washington,Yakima,0,6,46.5854,-120.538,0.0,0.1605,0.8395,-0.4088,True
4,323,92345,2014-01-01,Washington,Georgetown,0,1,47.5498,-122.318,0.1575,0.2705,0.5720000000000001,0.04179999999999999,True
6,366,92339,2014-01-01,Washington,Seattle,0,1,47.6017,-122.299,0.13383333333333333,0.2259166666666667,0.6401666666666667,-0.08945833333333336,True
7,368,92334,2014-01-01,Washington,Seattle,0,0,47.5337,-122.372,0.11475,0.12300000000000001,0.76225,0.011325000000000002,True
9,566,95299,2014-01-02,Washington,Burien,0,1,47.4631,-122.337,0.0776,0.1804,0.7419999999999999,-0.19782,True
10,653,92973,2014-01-03,Washington,Spokane,0,1,47.7157,-117.411,0.08,0.26033333333333336,0.6596666666666667,-0.16866666666666666,True
11,656,92593,2014-01-03,Washington,Bellevue,1,0,47.6077,-122.176,0.059000000000000004,0.18125,0.7597499999999999,-0.3369,True
13,659,183489,2014-01-03,Washington,Selah,1,0,46.6504,-120.517,0.0,0.13,0.87,-0.34,True
14,668,93338,2014-01-03,Washington,Pasco,1,0,46.2291,-119.098,0.04366666666666666,0.4026666666666667,0.5536666666666666,-0.6956000000000001,True
16,722,92976,2014-01-03,Washington,Spokane,1,1,47.6792,-117.404,0.0,0.155,0.845,-0.20025,True
17,789,93668,2014-01-04,Washington,Yakima,1,0,46.5851,-120.49,0.3406666666666667,0.06999999999999999,0.5893333333333334,0.3287666666666667,True
19,828,93335,2014-01-04,Washington,Pasco,0,1,46.2443,-119.117,0.0,0.14,0.86,-0.4767,True
20,935,93670,2014-01-05,Washington,Kennewick,0,0,46.2063,-119.179,0.10033333333333333,0.124,0.7753333333333333,-0.07066666666666667,True
21,947,93340,2014-01-05,Washington,Tacoma,0,1,47.1694,-122.43,0.07530769230769231,0.24353846153846154,0.6809999999999999,-0.11207692307692307,True
22,985,93663,2014-01-05,Washington,Seattle,0,1,47.6062,-122.317,0.08510714285714285,0.21107142857142855,0.7037678571428573,-0.2156589285714285,True
23,1065,93691,2014-01-06,Washington,Vancouver,0,0,45.6193,-122.538,0.15250000000000002,0.3145,0.5327500000000001,-0.194875,True
26,1380,96455,2014-01-09,Washington,Tacoma,0,0,47.2346,-122.42,0.11199999999999999,0.179,0.7088749999999999,-0.0363125,True
28,1643,95317,2014-01-11,Washington,Vancouver,0,0,45.6405,-122.621,0.15122222222222226,0.16555555555555554,0.6832222222222222,-0.04687777777777777,True
29,1741,95960,2014-01-11,Washington,Seattle,0,1,47.57100000000001,-122.295,0.134,0.322,0.544,0.04285,True
30,1800,333919,2014-01-12,Washington,Spokane,0,0,47.7549,-117.402,0.095,0.2716666666666667,0.6333333333333333,-0.4494,True
31,2334,97079,2014-01-15,Washington,Spokane,0,0,47.675,-117.417,0.0,0.0,1.0,0.0,True
32,2401,97186,2014-01-15,Washington,Vancouver,0,0,45.643,-122.671,0.14333333333333334,0.24600000000000002,0.6106666666666666,-0.1834,True
35,2468,217356,2014-01-16,Washington,Seattle,0,0,47.4435,-122.296,0.141875,0.15750000000000006,0.70075,0.1042125,True
36,2543,125332,2014-01-16,Washington,Yakima,0,1,46.5814,-120.488,0.19,0.1945,0.6154999999999999,-0.012749999999999984,True
37,2754,98691,2014-01-18,Washington,Richland,0,0,46.2832,-119.298,0.0,0.4043333333333334,0.5956666666666667,-0.4749,True
38,2876,98500,2014-01-18,Washington,Moses Lake,0,0,47.1724,-119.323,0.0,0.0,1.0,0.0,True
39,2910,98689,2014-01-19,Washington,Bellingham,0,0,48.7483,-122.49,0.06516666666666666,0.29100000000000004,0.6436666666666667,-0.4277166666666667,True
